"","Year","Scenario","OM","Rho","Frequency","HCR","SSB","SSBest","F_full","Fest","Catchsim","Catchest","R","Rest","REESSB","REEF","rhoSSB","rhoF"
"15",2000,1,1,"No rho-adjustment","Two year updates",1,8295.84936650059,9283.713,0.524024,0.5787408,2429.53002823588,2814.571,8768560,7537526,NA,NA,NA,NA
"16",2001,1,1,"No rho-adjustment","Two year updates",1,8487.57056849588,11392.99,0.624922,0.6514244,3527.58639413026,3829.701,5105900,4049423,NA,NA,NA,NA
"17",2002,1,1,"No rho-adjustment","Two year updates",1,10685.6185184123,12934.25,0.666422,0.598296,4393.98620097736,4195.073,1316070,1837512,NA,NA,NA,NA
"18",2003,1,1,"No rho-adjustment","Two year updates",1,12810.6055242548,13384.94,0.531522,0.5472915,4240.30131145634,4334.658,5760720,4764557,NA,NA,NA,NA
"19",2004,1,1,"No rho-adjustment","Two year updates",1,13890.4673675343,12741.11,0.558618,0.6031502,4684.84265530354,4564.123,2064430,2831757,NA,NA,NA,NA
"20",2005,1,1,"No rho-adjustment","Two year updates",1,13703.0695376649,11662.64,0.647474,0.7621613,4707.14899084329,4870.861,6694740,5552647,NA,NA,NA,NA
"21",2006,1,1,"No rho-adjustment","Two year updates",1,12533.3631238357,10519.83,0.879411,0.7448753,5284.61296492874,4617.845,4096920,5090392,NA,NA,NA,NA
"22",2007,1,1,"No rho-adjustment","Two year updates",1,11440.9025646292,10512.14,0.582746,0.611639,3162.68866199056,3445.956,6912250,6187585,NA,NA,NA,NA
"23",2008,1,1,"No rho-adjustment","Two year updates",1,9960.38801399675,11940.12,0.617485,0.7221364,3897.52122203001,4426.829,5430370,4754299,NA,NA,NA,NA
"24",2009,1,1,"No rho-adjustment","Two year updates",1,11613.6339931348,12348.47,0.82387,0.8862877,5274.08022468814,5418.358,4118280,3390424,NA,NA,NA,NA
"25",2010,1,1,"No rho-adjustment","Two year updates",1,12673.032481477,11376.75,0.934049,0.9949696,5663.6127072351,5500.362,2736090,2158098,NA,NA,NA,NA
"26",2011,1,1,"No rho-adjustment","Two year updates",1,12325.9728243025,9602.132,1.04277,1.269484,5398.15407041828,5243.021,1711080,1664752,NA,NA,NA,NA
"27",2012,1,1,"No rho-adjustment","Two year updates",1,10642.9303236964,7145.3,1.50474,1.606408,5152.42581169012,4473.507,1645230,1569640,NA,NA,NA,NA
"28",2013,1,1,"No rho-adjustment","Two year updates",1,8019.45803933917,4066.034,1.69086,1.956642,3039.01853263613,2633.055,1681620,1394004,NA,NA,NA,NA
"29",2014,1,1,"No rho-adjustment","Two year updates",1,4516.21619272153,2388.467,2.17901,2.381613,1947.8096815994,1719.913,787682,1018020,NA,NA,NA,NA
"30",2015,1,1,"No rho-adjustment","Two year updates",1,2676.99893825368,1557.171,2.22469,1.82881,1245.11330805806,1075.392,2701790,2241924,NA,NA,NA,NA
"31",2016,1,1,"No rho-adjustment","Two year updates",1,1759.86013695056,1581.9,0.370279,0.4957344,260.642551934867,300.6102,1184440,907800.6,NA,NA,NA,NA
"32",2017,1,1,"No rho-adjustment","Two year updates",1,1439.88101254476,2361.009,0.459487,0.5806632,580.032677377119,655.4264,757999,766124.1,NA,NA,NA,NA
"33",2018,1,1,"No rho-adjustment","Two year updates",1,2555.22478328137,2918.44,0.419339,0.4339369,860.913139705072,756.0804,1845300,1545644,NA,NA,NA,NA
"34",2019,1,1,"No rho-adjustment","Two year updates",1,3552.2021825003,3115.937,0.0447041146588323,0.0682651,130.598827043881,130.6401,2071501.55211027,913848.7,-13.02502388,748.4331115,NA,NA
"35",2020,1,1,"No rho-adjustment","Two year updates",1,4020.14598770474,3749.922,0.0473013147765527,0.06815787,181.396658522968,181.8677,2910540.82158393,1379185,NA,NA,0.0597781073815714,-0.0662933757504429
"36",2021,1,1,"No rho-adjustment","Two year updates",1,5657.19710252659,4979.755,0.0731643882451695,0.1052008,365.260563908851,365.4484,3088314.6395884,1513840,-18.60537543,-48.17226451,0.0766576469597102,-0.077178416305942
"37",2022,1,1,"No rho-adjustment","Two year updates",1,7130.71713232017,6918.71,0.0773312832921723,0.1057266,491.373190494546,494.2087,4205064.55705922,1985344,NA,NA,0.0882583734193613,-0.0862599870124749
"38",2023,1,1,"No rho-adjustment","Two year updates",1,8763.02835665883,8757.745,0.145825435087445,0.20762135,1071.14224247202,1080.68,4118018.8509603,2058340,-9.653341045,-59.49800274,0.102051780725559,-0.0936109990842922
"39",2024,1,1,"No rho-adjustment","Two year updates",1,10690.8384625718,9238.0615,0.152351310859809,0.21763485,1262.4894827053,1272.5535,4538295.22040375,2228065.5,NA,NA,0.112889545875712,-0.10623554961204
"40",2025,1,1,"No rho-adjustment","Two year updates",1,11808.2311936669,10064.555,0.186506935937143,0.2315574,1778.94930507942,1779.1165,3900872.24697819,1852958,1.46955164,-40.53489748,0.125892136395268,-0.114819662647579
"41",2026,1,1,"No rho-adjustment","Two year updates",1,13012.1100468857,10739.585,0.195255662023008,0.23267915,2099.90038307638,2105,3921173.30469164,1857050,NA,NA,0.143476255761346,-0.128158720022227
"42",2027,1,1,"No rho-adjustment","Two year updates",1,14086.6669449475,11038.425,0.174353380201294,0.21623455,1988.71761329961,1992.0595,4434343.51227828,2093844,-2.006138455,-10.07876885,0.212049196206822,-0.177037036210879
"43",2028,1,1,"No rho-adjustment","Two year updates",1,14592.0464706247,11238.445,0.183571645995773,0.2209135,2230.52870385112,2240.32,3121429.40308235,1536582,NA,NA,0.291769366236756,-0.203188396804112
"44",2029,1,1,"No rho-adjustment","Two year updates",1,15234.6673091043,11737.88,0.158914147179147,0.2058384,2027.65542449445,2019.187,3279376.8428712,1584687.5,-7.246572537,0.38266519,0.309867920527624,-0.21157690702772
"45",2030,1,1,"No rho-adjustment","Two year updates",1,15719.1389082221,11494.93,0.168972145822636,0.2117073,2265.34147687206,2242.574,3004452.6259735,1504951,NA,NA,0.27116661043021,-0.18929540387184
"46",2031,1,1,"No rho-adjustment","Two year updates",1,16312.689694719,11668.955,0.15863468377161,0.20073745,2010.86654641566,1990.2045,2858050.07380875,1463733.5,-8.658576166,-3.164099405,0.256425426217932,-0.176074767131372
"47",2032,1,1,"No rho-adjustment","Two year updates",1,15707.7418257693,11598.86,0.168931335123805,0.20897855,2176.64496579038,2178.4345,2710534.26162663,1448500.5,NA,NA,0.213631799901197,-0.15305664327899
"48",2033,1,1,"No rho-adjustment","Two year updates",1,15582.2547910968,11468,0.160998835925774,0.19450975,1926.54640987986,1944.8835,2582352.16027777,1530017.5,-3.882250961,-6.742954395,0.174962971606608,-0.133464344807631
"49",2034,1,1,"No rho-adjustment","Two year updates",1,14839.3726549008,11562.025,0.175507900983142,0.19730515,2071.30515657611,2089.7625,3292614.04121138,2005989,NA,NA,0.14971731740469,-0.118061045406388
"50",2035,1,1,"No rho-adjustment","Two year updates",1,14372.6383856026,11487.865,0.161235630997784,0.17442475,1705.35581509019,1712.7915,3411195.815145,2155100.5,-2.246182365,-4.406048022,0.141389439592762,-0.123375882430586
"51",2036,1,1,"No rho-adjustment","Two year updates",1,13629.9990919449,12175.82,0.171187755840294,0.17347155,1794.82836694087,1820.5495,3346914.7229609,2236653.5,NA,NA,0.136862082641536,-0.114714890302104
"52",2037,1,1,"No rho-adjustment","Two year updates",1,13733.0449122913,13835.19,0.156164317263786,0.1539334,1744.67498671499,1737.704,2821996.8506733,1947599,-6.244542194,-2.188090068,0.136908886387147,-0.122057625670042
"53",2038,1,1,"No rho-adjustment","Two year updates",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.147761317012601,-0.125410069792252
"54",2039,1,1,"No rho-adjustment","Two year updates",1,NA,NA,NA,NA,NA,NA,NA,NA,-10.15413732,1.005374429,0.134277603556784,-0.12134354304707
"55",1984,1,1,"No rho-adjustment","Two year updates",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",1985,1,1,"No rho-adjustment","Two year updates",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1986,2,1,"No rho-adjustment","Two year updates",2,9297.73133601723,16128.75,0.96721,1.039465,6625.16888465737,6781.605,10390600,10399860,NA,NA,NA,NA
"58",1987,2,1,"No rho-adjustment","Two year updates",2,16459.8041992508,20184.59,0.836977,0.8620278,8121.09871264467,8009.452,16225800,16299870,NA,NA,NA,NA
"59",1988,2,1,"No rho-adjustment","Two year updates",2,20737.3607985488,22879.44,0.852962,0.8760291,9698.4450581499,9628.905,16847800,17022250,NA,NA,NA,NA
"60",1989,2,1,"No rho-adjustment","Two year updates",2,23380.7336182467,24891.59,0.6555,0.6716373,8395.09696417704,8324.984,30233800,30422300,NA,NA,NA,NA
"61",1990,2,1,"No rho-adjustment","Two year updates",2,25310.4264277912,31697.55,0.956372,0.9762025,13996.0211840979,13962.27,4526620,4524998,NA,NA,NA,NA
"62",1991,2,1,"No rho-adjustment","Two year updates",2,31981.6351461198,35018.47,1.19324,1.212913,17913.883352803,17928.44,4628870,4678992,NA,NA,NA,NA
"63",1992,2,1,"No rho-adjustment","Two year updates",2,35178.5747609733,29712.78,1.2111,1.225712,16848.9179058499,16830.53,8321060,8361550,NA,NA,NA,NA
"64",1993,2,1,"No rho-adjustment","Two year updates",2,29812.8472863822,18502.79,1.31222,1.329018,11260.1775013052,11265.03,8306270,8350087,NA,NA,NA,NA
"65",1994,2,1,"No rho-adjustment","Two year updates",2,18583.1566891769,12172.96,1.60134,1.636577,7568.66163647737,7575.819,10593000,10634500,NA,NA,NA,NA
"66",1995,2,1,"No rho-adjustment","Two year updates",2,12247.1556811555,10559.86,1.4559,1.488504,5812.5185859477,5810.289,3499470,3486868,NA,NA,NA,NA
"67",1996,2,1,"No rho-adjustment","Two year updates",2,10606.516661307,11105.49,1.05505,1.073165,5004.91546329448,5003.87,3785520,3819360,NA,NA,NA,NA
"68",1997,2,1,"No rho-adjustment","Two year updates",2,11158.1809348757,11364.34,0.990981,0.9985003,5452.38934347295,5433.183,3111340,3138732,NA,NA,NA,NA
"69",1998,2,1,"No rho-adjustment","Two year updates",2,11427.4498386113,9417.15,0.862996,0.869657,4213.11676211824,4221.049,5080230,5081853,NA,NA,NA,NA
"70",1999,2,1,"No rho-adjustment","Two year updates",2,9426.16618501365,8283.702,0.762063,0.7674727,3321.00278695728,3325.344,4473680,4474963,NA,NA,NA,NA
"71",2000,2,1,"No rho-adjustment","Two year updates",2,8295.84752248464,8469.659,0.524024,0.5283258,2429.5297654983,2431.184,8768560,8760874,NA,NA,NA,NA
"72",2001,2,1,"No rho-adjustment","Two year updates",2,8487.56986389039,10667.25,0.624922,0.6313178,3527.58624876937,3548.606,5105900,5086597,NA,NA,NA,NA
"73",2002,2,1,"No rho-adjustment","Two year updates",2,10685.6181768213,12787.12,0.666422,0.6710966,4393.98621628301,4391.24,1316070,1312628,NA,NA,NA,NA
"74",2003,2,1,"No rho-adjustment","Two year updates",2,12810.605374546,13838.23,0.531522,0.5344822,4240.30128772737,4233.378,5760720,5776211,NA,NA,NA,NA
"75",2004,2,1,"No rho-adjustment","Two year updates",2,13890.4673045887,13652,0.558618,0.5630347,4684.84265802319,4700.876,2064430,2070064,NA,NA,NA,NA
"76",2005,2,1,"No rho-adjustment","Two year updates",2,13703.069507377,12481.49,0.647474,0.6513223,4707.14898465002,4708.719,6694740,6702293,NA,NA,NA,NA
"77",2006,2,1,"No rho-adjustment","Two year updates",2,12533.3631096515,11382.54,0.879411,0.8892352,5284.61296567852,5283.4,4096920,4085742,NA,NA,NA,NA
"78",2007,2,1,"No rho-adjustment","Two year updates",2,11440.9025585513,9929.366,0.582746,0.5894044,3162.6886611559,3165.941,6912250,6923726,NA,NA,NA,NA
"79",2008,2,1,"No rho-adjustment","Two year updates",2,9960.38801193151,11563.55,0.617485,0.624439,3897.52122163175,3894.338,5430370,5438988,NA,NA,NA,NA
"80",2009,2,1,"No rho-adjustment","Two year updates",2,11613.6339921907,12610.2,0.82387,0.8329046,5274.08022447319,5286.29,4118280,4113597,NA,NA,NA,NA
"81",2010,2,1,"No rho-adjustment","Two year updates",2,12673.0324810601,12263.16,0.934049,0.9433501,5663.61270725429,5642.677,2736090,2756569,NA,NA,NA,NA
"82",2011,2,1,"No rho-adjustment","Two year updates",2,12325.9728241528,10599.58,1.04277,1.056006,5398.15407042487,5395.377,1711080,1721589,NA,NA,NA,NA
"83",2012,2,1,"No rho-adjustment","Two year updates",2,10642.9303237075,7966.15,1.50474,1.523277,5152.42581169242,5142.812,1645230,1666366,NA,NA,NA,NA
"84",2013,2,1,"No rho-adjustment","Two year updates",2,8019.45803934235,4496.861,1.69086,1.726087,3039.01853263657,3038.779,1681620,1699611,NA,NA,NA,NA
"85",2014,2,1,"No rho-adjustment","Two year updates",2,4516.21619272211,2659.182,2.17901,2.231531,1947.80968159948,1940.841,787682,787734.4,NA,NA,NA,NA
"86",2015,2,1,"No rho-adjustment","Two year updates",2,2676.99893825377,1755.77,2.22469,2.261426,1245.11330805807,1243.673,2701790,2714097,NA,NA,NA,NA
"87",2016,2,1,"No rho-adjustment","Two year updates",2,1759.86013695052,1445.36,0.370279,0.373796,260.642551934866,261.5444,1184440,1186099,NA,NA,NA,NA
"88",2017,2,1,"No rho-adjustment","Two year updates",2,1439.88101254476,2574.442,0.459487,0.4571371,580.032677377118,580.5282,757999,756460.3,NA,NA,NA,NA
"89",2018,2,1,"No rho-adjustment","Two year updates",2,2555.22478328137,3578.213,0.419339,0.416462,860.913139705072,859.4519,1845300,1849520,NA,NA,NA,NA
"90",2019,2,1,"No rho-adjustment","Two year updates",2,3552.2021825003,4014.465,0.0420675131402547,0.04180622,122.461865314327,122.8333,1660768.43114148,1637218,-26.9382240463229,991.156956187473,NA,NA
"91",2020,2,1,"No rho-adjustment","Two year updates",2,3977.99762085175,5524.908,0.0369794699127927,0.03705785,151.759224877972,152.2526,1783464.53220856,1790065,1.43758019898963,11.6639268472787,-0.000451107929737713,0.000651304533547343
"92",2021,2,1,"No rho-adjustment","Two year updates",2,5465.97470863798,7448.316,0.0369794679418479,0.03665847,206.67066852337,207.2712,2460739.33263454,2466414,-26.6947407755545,11.6640490198668,0.00028351596502682,0.00862324340056403
"93",2022,2,1,"No rho-adjustment","Two year updates",2,7349.92025757172,9954.768,0.0541753634642529,0.05387511,415.711114387189,418.85695,2653861.96775739,2613042,2.36834945911673,-34.6142360397085,0.00458359986735211,0.00294943863617401
"94",2023,2,1,"No rho-adjustment","Two year updates",2,9823.85879976601,13390.68,0.0541755321338514,0.05371342,563.645332327111,569.5368,2688177.94425656,2730986,-24.562655767289,-34.6143136286576,-0.00789450063124778,0.0159880423879084
"95",2024,2,1,"No rho-adjustment","Two year updates",2,13192.7363311501,16165.645,0.0971061525465083,0.096119395,1181.6543686435,1194.2745,2963177.40747675,2954525.5,2.92540024519452,-45.4400930306076,-0.00695457078410257,0.0134994279278199
"96",2025,2,1,"No rho-adjustment","Two year updates",2,16040.4206810176,18607.34,0.0971050022537276,0.09538469,1390.1211641457,1404.7215,2674046.02502039,2632796,-15.1367738388346,-45.4401441701419,-0.0077912050356135,0.016999348988369
"97",2026,2,1,"No rho-adjustment","Two year updates",2,18588.4001040039,21707.455,0.135982986081738,0.13450935,2178.80570838793,2186.0475,2780761.79480193,2740046.5,2.05042192297927,-28.5672260533467,-0.00525433403577794,0.0129486997143543
"98",2027,2,1,"No rho-adjustment","Two year updates",2,21837.8028062619,23949.765,0.135982829955463,0.13448985,2426.94704792584,2445.8925,2938651.99053278,2981395,-11.8695317015023,-28.568814706937,-0.00373063149572678,0.0117290611503568
"99",2028,2,1,"No rho-adjustment","Two year updates",2,23886.1936757853,25847.105,0.138502507193338,0.1383151,2718.09056963402,2718.3575,2561803.51678687,2560832,2.0206444346465,-4.72626276254266,-0.000623988453400211,0.0073735297813168
"100",2029,2,1,"No rho-adjustment","Two year updates",2,25787.1823402311,27233.455,0.138503015054614,0.1383589,2894.43022008257,2883.3795,2758771.93857878,2793474,-4.70260492171977,-4.7262609859019,-0.00041253455335328,0.00633858111516145
"101",2030,2,1,"No rho-adjustment","Two year updates",2,27361.2854493857,28376.515,0.140991879976264,0.13858615,3095.05751746038,3091.947,2719950.44811493,2654999,1.29730149431747,-2.89743945860281,0.0023180306037176,0.00275776113479266
"102",2031,2,1,"No rho-adjustment","Two year updates",2,28577.2799362405,29028.635,0.14099354801461,0.13903725,3183.94266471535,3164.9275,2964330.63751081,2856234,-3.20662962154437,-2.90185584942478,0.00216070800642098,0.00315133702862633
"103",2032,2,1,"No rho-adjustment","Two year updates",2,29030.5138023444,29527.56,0.140101501588868,0.13912295,3235.93023292822,3250.281,2813763.01940497,2730203.5,0.598872649543326,-1.36101330168468,-0.00425634253579593,0.0081020749716809
"104",2033,2,1,"No rho-adjustment","Two year updates",2,29573.0477203675,29788.9,0.140105361433321,0.1377578,3278.19743781159,3307.575,2862657.75038563,2842179,-1.46051714479803,-1.36436767400651,-0.000687794897884592,0.00564887238061437
"105",2034,2,1,"No rho-adjustment","Two year updates",2,29813.8208086033,30027.66,0.138987233936269,0.13741355,3331.54044204886,3307.764,2733371.40362049,2702950.5,-0.300042185588012,-0.042500184683881,0.00725589707139677,-0.000927608968505758
"106",2035,2,1,"No rho-adjustment","Two year updates",2,30129.1630430696,30477.015,0.138980975307878,0.1383512,3358.47768552224,3351.249,2822865.65443136,2856996,-0.838266345093767,-0.0441670262021831,0.00462822016958604,0.00269354242049299
"107",2036,2,1,"No rho-adjustment","Two year updates",2,30311.8061877946,30536.24,0.137583618460424,0.1375784,3321.45808060153,3364.8825,2842912.17030827,2709162.5,-0.853330472495251,0.116261385993208,0.00220580695909917,0.00489443057865428
"108",2037,2,1,"No rho-adjustment","Two year updates",2,30359.6191063573,30386.96,0.137581867133405,0.1370856,3380.73965578839,3388.613,2793157.55097966,2680939,-1.56821358868371,0.116087131416417,0.00309654574195242,0.00260065216915547
"109",1986,3,1,"No rho-adjustment","Two year updates",3,8987.37940464999,16022.485,0.96721,1.051559,6529.14775281588,6732.3705,10390600,10386280,NA,NA,NA,NA
"110",1987,3,1,"No rho-adjustment","Two year updates",3,16293.2974495075,20065.99,0.836977,0.8701455,8076.7971086294,7963.5845,16225800,16324875,NA,NA,NA,NA
"111",1988,3,1,"No rho-adjustment","Two year updates",3,20649.214956031,22874.11,0.852962,0.8818916,9682.45152934919,9599.7535,16847800,16988885,NA,NA,NA,NA
"112",1989,3,1,"No rho-adjustment","Two year updates",3,23350.3815012997,24905.53,0.6555,0.6776402,8386.19230467824,8354.422,30233800,30385850,NA,NA,NA,NA
"113",1990,3,1,"No rho-adjustment","Two year updates",3,25290.2125274798,31600.545,0.956372,0.98367925,13990.7587875397,13927.885,4526620,4569884,NA,NA,NA,NA
"114",1991,3,1,"No rho-adjustment","Two year updates",3,31972.3513329551,34827.92,1.19324,1.212418,17912.0028049388,17853.225,4628870,4664601,NA,NA,NA,NA
"115",1992,3,1,"No rho-adjustment","Two year updates",3,35175.6538359241,29651.245,1.2111,1.2302155,16848.4472972581,16838.195,8321060,8386960.5,NA,NA,NA,NA
"116",1993,3,1,"No rho-adjustment","Two year updates",3,29812.1221094694,18429.605,1.31222,1.339321,11260.0578649061,11239.385,8306270,8384590.5,NA,NA,NA,NA
"117",1994,3,1,"No rho-adjustment","Two year updates",3,18582.9798367492,12127.35,1.60134,1.6407255,7568.63270329332,7544.7175,10593000,10676195,NA,NA,NA,NA
"118",1995,3,1,"No rho-adjustment","Two year updates",3,12247.1166993254,10541.835,1.4559,1.492099,5812.51400833519,5820.674,3499470,3504318,NA,NA,NA,NA
"119",1996,3,1,"No rho-adjustment","Two year updates",3,10606.5102262825,11118.815,1.05505,1.073184,5004.91472490991,5017.45,3785520,3798798.5,NA,NA,NA,NA
"120",1997,3,1,"No rho-adjustment","Two year updates",3,11158.1797062999,11394.865,0.990981,1.004482,5452.38914063068,5466.089,3111340,3108981.5,NA,NA,NA,NA
"121",1998,3,1,"No rho-adjustment","Two year updates",3,11427.4494883915,9382.953,0.862996,0.8759405,4213.11670555367,4224.668,5080230,5082739.5,NA,NA,NA,NA
"122",1999,3,1,"No rho-adjustment","Two year updates",3,9426.16607857382,8249.357,0.762063,0.7728283,3321.0027689622,3327.2975,4473680,4458715.5,NA,NA,NA,NA
"123",2000,3,1,"No rho-adjustment","Two year updates",3,8295.84748571826,8441.854,0.524024,0.5324858,2429.52976025979,2426.7905,8768560,8812286.5,NA,NA,NA,NA
"124",2001,3,1,"No rho-adjustment","Two year updates",3,8487.56984984182,10621.865,0.624922,0.63315225,3527.58624587113,3527.329,5105900,5087680.5,NA,NA,NA,NA
"125",2002,3,1,"No rho-adjustment","Two year updates",3,10685.6181700106,12764.055,0.666422,0.67769915,4393.98621495243,4395.123,1316070,1312325.5,NA,NA,NA,NA
"126",2003,3,1,"No rho-adjustment","Two year updates",3,12810.6053715611,13829.305,0.531522,0.53482795,4240.30128725426,4224.9725,5760720,5763496.5,NA,NA,NA,NA
"127",2004,3,1,"No rho-adjustment","Two year updates",3,13890.4673033337,13638.78,0.558618,0.56057665,4684.84265778676,4674.0765,2064430,2079265,NA,NA,NA,NA
"128",2005,3,1,"No rho-adjustment","Two year updates",3,13703.0695067732,12457.91,0.647474,0.6521134,4707.14898452653,4708.033,6694740,6747189,NA,NA,NA,NA
"129",2006,3,1,"No rho-adjustment","Two year updates",3,12533.3631093687,11390.85,0.879411,0.8869622,5284.61296561334,5269.0365,4096920,4085575,NA,NA,NA,NA
"130",2007,3,1,"No rho-adjustment","Two year updates",3,11440.9025584301,9918.867,0.582746,0.59356955,3162.68866113926,3179.9955,6912250,6925637,NA,NA,NA,NA
"131",2008,3,1,"No rho-adjustment","Two year updates",3,9960.38801189033,11567.945,0.617485,0.6276245,3897.52122162381,3901.5925,5430370,5458394.5,NA,NA,NA,NA
"132",2009,3,1,"No rho-adjustment","Two year updates",3,11613.6339921719,12605.085,0.82387,0.8382512,5274.08022446891,5284.542,4118280,4149308,NA,NA,NA,NA
"133",2010,3,1,"No rho-adjustment","Two year updates",3,12673.0324810518,12252.75,0.934049,0.95128955,5663.61270725262,5655.128,2736090,2750432,NA,NA,NA,NA
"134",2011,3,1,"No rho-adjustment","Two year updates",3,12325.9728241498,10575.705,1.04277,1.058664,5398.1540704243,5387.9355,1711080,1723376.5,NA,NA,NA,NA
"135",2012,3,1,"No rho-adjustment","Two year updates",3,10642.9303237065,7981.0405,1.50474,1.534787,5152.42581169222,5158.5415,1645230,1666367,NA,NA,NA,NA
"136",2013,3,1,"No rho-adjustment","Two year updates",3,8019.45803934208,4467.6045,1.69086,1.733261,3039.01853263653,3036.494,1681620,1692806.5,NA,NA,NA,NA
"137",2014,3,1,"No rho-adjustment","Two year updates",3,4516.21619272206,2645.1275,2.17901,2.238588,1947.80968159947,1937.1555,787682,792816.45,NA,NA,NA,NA
"138",2015,3,1,"No rho-adjustment","Two year updates",3,2676.99893825376,1750.2935,2.22469,2.278089,1245.11330805807,1242.643,2701790,2697003.5,NA,NA,NA,NA
"139",2016,3,1,"No rho-adjustment","Two year updates",3,1759.86013695052,1435.3825,0.370279,0.37737405,260.642551934866,261.6333,1184440,1185005,NA,NA,NA,NA
"140",2017,3,1,"No rho-adjustment","Two year updates",3,1439.88101254476,2548.982,0.459487,0.4632898,580.032677377118,580.0717,757999,752396.95,NA,NA,NA,NA
"141",2018,3,1,"No rho-adjustment","Two year updates",3,2555.22478328137,3548.284,0.419339,0.4222891,860.913139705072,859.11145,1845300,1846630,NA,NA,NA,NA
"142",2019,3,1,"No rho-adjustment","Two year updates",3,3552.2021825003,3979.129,0.130782847249027,0.13124695,367.571306284197,364.646,1449991.58169827,1450512,-25.4209821431026,242.13379577018,NA,NA
"143",2020,3,1,"No rho-adjustment","Two year updates",3,3976.95237845536,5143.8205,0.128564925154078,0.12951255,475.382357606697,473.94595,1788379.49611152,1760980.5,4.01743356104253,-2.89293732557752,0.00764923956821645,-0.0124498064366937
"144",2021,3,1,"No rho-adjustment","Two year updates",3,5168.72273886912,6579.2845,0.128565362157657,0.1296705,619.554429490594,612.59635,2240753.25713265,2246080,-19.8471356042111,-2.89446586199501,0.00831148815827934,-0.00420810455094239
"145",2022,3,1,"No rho-adjustment","Two year updates",3,6572.75845416656,8425.1285,0.126951015221057,0.1265842,789.855791291598,784.87975,2857681.77130603,2841123,4.7865545017164,-2.11191665269063,0.00062995820137959,0.00483074717123554
"146",2023,3,1,"No rho-adjustment","Two year updates",3,8413.84216057088,11054.975,0.12695255461344,0.12646605,1033.01195442728,1042.1555,2949238.78613903,2960744,-19.3507524274336,-2.11254202051445,0.0106692296047381,-0.00616147480824642
"147",2024,3,1,"No rho-adjustment","Two year updates",3,11159.3223322896,13416.135,0.127065238371653,0.1262254,1251.20915928385,1244.248,2800230.32361089,2759043,3.96656039670248,-3.59455659162199,0.0119956227124751,-0.00443990214815586
"148",2025,3,1,"No rho-adjustment","Two year updates",3,13652.3965738484,16021.84,0.127065202789596,0.12695505,1503.60130507182,1503.2255,2848775.42759037,2856520,-14.1698214624685,-3.59467138636979,0.010433405816347,-0.00385744109336448
