"","X.2","X.1","X","SSBestratioreal","Fratioreal","Year","Scenario","Misspecification","Compare_Mis","Compare_Rho","Compare_Freq","OM","Rho","Frequency","HCR"
"39",39,39,39,1.3217986525588,0.74630295,2037,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"40",40,40,40,1.3145821890269,0.744234639945652,2038,2,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",2
"41",41,41,41,0.139234491804694,2.29275440706522,2019,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"42",42,42,42,0.156140828676713,0.712585342663043,2020,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"43",43,43,43,0.217939561987939,0.703168681793478,2021,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"44",44,44,44,0.278759023983057,0.704026247282609,2022,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"45",45,45,45,0.406076850652523,0.687269651086956,2023,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"46",46,46,46,0.532830974867906,0.686628173641304,2024,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"47",47,47,47,0.634622191568816,0.685321601086956,2025,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"48",48,48,48,0.757879613895129,0.689283124728261,2026,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"49",49,49,49,0.906200801817787,0.699584497826087,2027,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"50",50,50,50,1.03034465907238,0.694439104891304,2028,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"51",51,51,51,1.17934414706028,0.72180464673913,2029,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"52",52,52,52,1.28515380218139,0.720513004891304,2030,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"53",53,53,53,1.41770057672903,0.741374188043478,2031,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"54",54,54,54,1.49328958104219,0.740549198641304,2032,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"55",55,55,55,1.44830961453287,0.760916582608696,2033,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"56",56,56,56,1.47532424029262,0.758982648913043,2034,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"57",57,57,57,1.36729553608707,0.759253844836957,2035,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"58",58,58,58,1.38973064869343,0.748945142119565,2036,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"59",59,59,59,1.3282457477766,0.744943169836956,2037,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"60",60,60,60,1.32406367701301,0.741415179619565,2038,3,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",3
"61",61,61,61,0.140923638027449,2.26458993668478,2019,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"62",62,62,62,0.158364274202911,0.966741529891304,2020,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"63",63,63,63,0.216204865848802,0.749439755706522,2021,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"64",64,64,64,0.278850094472482,0.757712181521739,2022,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"65",65,65,65,0.407871962467141,0.308229966929348,2023,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"66",66,66,66,0.560799386371233,0.309771304483696,2024,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"67",67,67,67,0.688471869755711,0.241407915652174,2025,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"68",68,68,68,0.850730610783924,0.242723256603261,2026,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"69",69,69,69,1.05533870820039,0.216005083043478,2027,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"70",70,70,70,1.25626216554951,0.21709923236413,2028,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"71",71,71,71,1.51444631979397,0.220646279592391,2029,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"72",72,72,72,1.72421817702015,0.219359904211957,2030,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"73",73,73,73,1.9515326934213,0.244075435679348,2031,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"74",74,74,74,2.07980036575274,0.247386333423913,2032,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"75",75,75,75,2.06057004148743,0.317636284891304,2033,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"76",76,76,76,2.12864684153659,0.31536898923913,2034,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"77",77,77,77,2.03313627323703,0.431836508396739,2035,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"78",78,78,78,2.02157631444933,0.429049162663043,2036,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"79",79,79,79,1.89277699554056,0.596028646467391,2037,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"80",80,80,80,1.85224811192803,0.586640218206522,2038,4,NA,"Misspecified and correctly specified stock assessment",NA,NA,1,"No rho-adjustment","Two year updates",4
"81",81,81,81,0.0661363151335182,2.82998375951087,2019,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"82",82,82,82,0.0668861478438642,1.03613076684783,2020,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"83",83,83,83,0.102099375643595,0.761622397826087,2021,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"84",84,84,84,0.138191826123287,0.69300847173913,2022,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"85",85,85,85,0.187454607550684,0.9394221375,2023,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"86",86,86,86,0.227015675767665,0.862189936141304,2024,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"87",87,87,87,0.274296271460735,1.73904437967033,2025,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"88",88,88,88,0.303981347539191,1.66864946043956,2026,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"89",89,89,89,0.364925586666802,2.60893762664835,2027,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"90",90,90,90,0.36150602335104,2.57365453846154,2028,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"91",91,91,91,0.443653311460617,3.04949882225275,2029,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"92",92,92,92,0.419309391582746,3.06755025824176,2030,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"93",93,93,93,0.47559066498569,2.88266801785714,2031,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"94",94,94,94,0.470344254330201,2.89385599450549,2032,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"95",95,95,95,0.478438269227957,1.95507620851648,2033,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"96",96,96,96,0.535542049733446,1.8244964793956,2034,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"97",97,97,97,0.558897465350347,1.38561958681319,2035,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"98",98,98,98,0.634225097348366,1.24860097335165,2036,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"99",99,99,99,0.681290785933297,1.05853710659341,2037,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"100",100,100,100,0.805812366166657,0.905961538186813,2038,5,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",1
"101",101,101,101,0.07271690579974,2.55495227282609,2019,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"102",102,102,102,0.0762078824437889,1.17666726358696,2020,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"103",103,103,103,0.113783281474784,1.1403210375,2021,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"104",104,104,104,0.148926717884353,1.04344572717391,2022,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"105",105,105,105,0.189296578470361,1.37024143043478,2023,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"106",106,106,106,0.22106973053968,1.28467002228261,2024,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"107",107,107,107,0.263384154298197,2.13108765824176,2025,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"108",108,108,108,0.297697858604397,2.05133781758242,2026,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"109",109,109,109,0.358504796374692,2.79114397417582,2027,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"110",110,110,110,0.355127643836527,2.80647533076923,2028,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"111",111,111,111,0.446131185143761,3.08319833076923,2029,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"112",112,112,112,0.42737839938018,3.12758741373626,2030,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"113",113,113,113,0.464849594817187,2.68365157417582,2031,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"114",114,114,114,0.478073524619256,2.64733957087912,2032,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"115",115,115,115,0.479419821973565,2.05743226648352,2033,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"116",116,116,116,0.515389012656991,1.95708546098901,2034,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"117",117,117,117,0.522874930026375,1.6330647510989,2035,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"118",118,118,118,0.592437882352486,1.47603073351648,2036,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"119",119,119,119,0.634649251483705,1.28684154065934,2037,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"120",120,120,120,0.729769311339018,1.11888878241758,2038,6,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",2
"121",121,121,121,0.0859847993113415,2.08982764565217,2019,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"122",122,122,122,0.0956264014718946,1.95540893804348,2020,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"123",123,123,123,0.13076590266254,2.22990319076087,2021,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"124",124,124,124,0.151535233497319,2.199723075,2022,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"125",125,125,125,0.18284512606058,2.50747262608696,2023,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"126",126,126,126,0.195057865624878,2.50854437934783,2024,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"127",127,127,127,0.223456752833826,2.56650103858696,2025,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"128",128,128,128,0.247916426212845,2.5993355625,2026,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"129",129,129,129,0.298970914294702,2.39638816956522,2027,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"130",130,130,130,0.333914364665986,2.37470769782609,2028,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"131",131,131,131,0.404362797682191,2.25751576793478,2029,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"132",132,132,132,0.437175510007248,2.23868787554348,2030,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"133",133,133,133,0.483478348694956,2.15873258478261,2031,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"134",134,134,134,0.513049052323027,2.08921412934783,2032,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"135",135,135,135,0.528869867018825,1.9751636201087,2033,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"136",136,136,136,0.559594955677747,1.86269522282609,2034,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"137",137,137,137,0.56882012766912,1.70528159836957,2035,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"138",138,138,138,0.618827777104582,1.54521139402174,2036,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"139",139,139,139,0.673186813683292,1.34837390274725,2037,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"140",140,140,140,0.768088591804916,1.16120960604396,2038,7,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",3
"141",141,141,141,0.0665369477520334,2.8113450798913,2019,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"142",142,142,142,0.0662565914522231,2.21076419673913,2020,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"143",143,143,143,0.0861336799856657,1.7115834423913,2021,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"144",144,144,144,0.108013795726121,1.69293118940217,2022,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"145",145,145,145,0.131746944706863,1.3449004923913,2023,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"146",146,146,146,0.15493173819804,1.27996847853261,2024,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"147",147,147,147,0.183807197814199,1.37551651318681,2025,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"148",148,148,148,0.222851067475854,1.31709175467033,2026,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"149",149,149,149,0.274945997522194,1.31074343901099,2027,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"150",150,150,150,0.318593014749951,1.23008681373626,2028,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"151",151,151,151,0.399074736547626,1.36530009148352,2029,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"152",152,152,152,0.444239424969499,1.28256862005494,2030,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"153",153,153,153,0.506988943451469,1.53517866923077,2031,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"154",154,154,154,0.53806183482089,1.44384783873626,2032,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"155",155,155,155,0.595194295170215,1.87349495934066,2033,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"156",156,156,156,0.594644117005884,1.77704013708791,2034,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"157",157,157,157,0.651836951153661,2.11725068489011,2035,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"158",158,158,158,0.625033644959211,1.95336500934066,2036,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"159",159,159,159,0.703692861693449,1.86267474642857,2037,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"160",160,160,160,0.732506368684967,1.65421144038462,2038,8,1,"Misspecified and correctly specified stock assessment",NA,NA,3,"No rho-adjustment","Two year updates",4
"161",161,161,161,0.141541593025827,2.22715605412088,2019,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"162",162,162,162,0.159658260027372,0.177470044615385,2020,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"163",163,163,163,0.23761373384683,0.176410473379121,2021,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"164",164,164,164,0.309107257093287,0.175378539313187,2022,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"165",165,165,165,0.460075072803537,0.29945258282967,2023,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"166",166,166,166,0.594831741473757,0.299691903708791,2024,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"167",167,167,167,0.693514501582473,0.585222433516484,2025,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"168",168,168,168,0.786850566816068,0.587161426648352,2026,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"169",169,169,169,0.925221016701192,0.774148702747253,2027,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"170",170,170,170,0.988473385498483,0.769193772527472,2028,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"171",171,171,171,1.12772155982794,0.825644408241758,2029,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"172",172,172,172,1.17868928345413,0.821474132142857,2030,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"173",173,173,173,1.34948661352633,0.851360973626374,2031,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"174",174,174,174,1.34003031090249,0.840232003846154,2032,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"175",175,175,175,1.35590274382893,0.852055333516484,2033,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"176",176,176,176,1.27376916737347,0.858638029945055,2034,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"177",177,177,177,1.23212636148776,0.84889009532967,2035,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"178",178,178,178,1.15554175108933,0.850630935164835,2036,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"179",179,179,179,1.05643714597921,0.825676518956044,2037,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
"180",180,180,180,1.0270475503688,0.803073869505495,2038,9,2,"Misspecified and correctly specified stock assessment",NA,NA,4,"No rho-adjustment","Two year updates",1
