"","Scenario","ShorttermSSB","ShorttermCatch","Catchstab","Ffreq","Bfreq","MediumtermSSB","MediumtermCatch","MediumCatchstab","MediumFfreq","MediumBfreq","LongtermSSB","LongtermCatch","LongCatchstab","LongFfreq","LongBfreq","OM","Rho","Frequency","HCR"
"23",19,0.812808927605608,1,0.252361575695664,0,0,0.440971649456474,0.483892939165494,0.817840590465676,0,0.599400599400599,0.231125288711731,0.342670272717789,0.662676578165947,0.635727908455181,0.999000999000999,5,"Rho-adjustment","Two year updates",3
"24",20,0.887148655708107,0.510851033880989,0.531305290723206,0.999000999000999,0,0.577133946272208,0.328235625825615,0.50179211327017,0.999000999000999,0.999000999000999,0.291263894548112,0.382218525173442,0.584118756652937,0.635727908455181,0.999000999000999,5,"Rho-adjustment","Two year updates",4
"25",21,0.922592829880754,0.603959604537905,0.0923199646813512,0.3996003996004,0,0.45177972785729,0.659194528065485,0.896289964880784,0,0.799200799200799,0.217513700629795,0.359413150238697,0.554376234863696,0.0908182726364545,0.999000999000999,5,"No rho-adjustment","Annual updates",1
"26",22,0.900280257805607,0.701065212001554,0.108321161800912,0.3996003996004,0,0.448361978936071,0.622192874772539,0.800281311407053,0,0.799200799200799,0.216193615325587,0.360571381379641,0.565866296080341,0.0908182726364545,0.999000999000999,5,"No rho-adjustment","Annual updates",2
"27",23,0.828760664347562,0.952452000473411,0.219959960961634,0,0,0.451576940626929,0.520292198198123,1,0,0.799200799200799,0.223745951744157,0.370279376493659,0.661277846139535,0.272454817909363,0.999000999000999,5,"No rho-adjustment","Annual updates",3
"28",24,0.885736044709813,0.497137311671425,0.37002444307874,0.999000999000999,0,0.556868159810308,0.430594192734088,0.508810573873959,0.799200799200799,0.999000999000999,0.239192052753323,0.419594190168802,0.695856426033063,0.363273090545818,0.999000999000999,5,"No rho-adjustment","Annual updates",4
"29",25,0.0960454931225375,0.20571564485778,0.139414091450186,0.599400599400599,0.999000999000999,0.0333661100694786,0.0514804926038954,0.690685887560874,0.999000999000999,0.999000999000999,0.0185750331525546,0.0379984325971102,0.468327421708828,0.999000999000999,0.999000999000999,2,"No rho-adjustment","Two year updates",1
"30",26,0.0975153886783163,0.2065895638779,0.137287236295541,0.599400599400599,0.999000999000999,0.0343071412831691,0.0505698618623104,0.721027700970188,0.999000999000999,0.999000999000999,0.0181988978199137,0.0359693019628026,0.477120969645119,0.999000999000999,0.999000999000999,2,"No rho-adjustment","Two year updates",2
"31",27,0.0971521532979878,0.206337596848328,0.141516010751675,0.599400599400599,0.999000999000999,0.0355016373145389,0.054301626580819,0.764335124565511,0.999000999000999,0.999000999000999,0.0178219172336426,0.0367490788117206,0.455832566024525,0.999000999000999,0.999000999000999,2,"No rho-adjustment","Two year updates",3
"32",28,0.173496743952216,0.0209397801354126,0.242923674199389,0.999000999000999,0.999000999000999,0.0669300768609187,0.0226721317779018,0.477742037976027,0.999000999000999,0.999000999000999,0.029865881221517,0.0461343170049727,0.444446955549944,0.999000999000999,0.999000999000999,2,"No rho-adjustment","Two year updates",4
"33",29,0.096865980790224,0.206216499328765,0.139970464491366,0.599400599400599,0.999000999000999,0.0338197730218265,0.0480081125810348,0.720672469187237,0.999000999000999,0.999000999000999,0.019471325131998,0.0351802943389159,0.495777000532194,0.999000999000999,0.999000999000999,6,"No rho-adjustment","Two year updates",1
"34",30,0.0976977157547882,0.205697573052941,0.137238414174074,0.599400599400599,0.999000999000999,0.0357077417378071,0.0490715157908222,0.77196139442385,0.999000999000999,0.999000999000999,0.0199395294164161,0.0335708503378089,0.484701795022713,0.999000999000999,0.999000999000999,6,"No rho-adjustment","Two year updates",2
"35",31,0.0984691027745388,0.206790114937074,0.144249753956305,0.599400599400599,0.999000999000999,0.0350673605872928,0.0493398171861106,0.712822589768638,0.999000999000999,0.999000999000999,0.0202522380458266,0.0356116425360597,0.509977243696623,0.999000999000999,0.999000999000999,6,"No rho-adjustment","Two year updates",3
"36",32,0.174138307415795,0.0209398014819591,0.242315308665678,0.999000999000999,0.999000999000999,0.0657431977046507,0.0221503500814728,0.476868335910232,0.999000999000999,0.999000999000999,0.0297916584696141,0.0408646467773306,0.512729203656832,0.999000999000999,0.999000999000999,6,"No rho-adjustment","Two year updates",4
